iter	MultiClass
0	1.252751624
1	1.154609133
2	1.076903644
3	1.011042831
4	0.9564912357
5	0.9117348885
6	0.8719454177
7	0.8381552785
8	0.8088503412
9	0.7842296456
10	0.7610789208
11	0.7408796847
12	0.722716212
13	0.7069024529
14	0.6933010311
15	0.6816918861
16	0.6709619669
17	0.6599849605
18	0.6506146879
19	0.6420148048
20	0.6342362154
21	0.6275892457
22	0.6220254483
23	0.6166804966
24	0.6116355082
25	0.6078388239
26	0.6037932797
27	0.6002098428
28	0.5973307265
29	0.5942189256
30	0.5914345563
31	0.5883166925
32	0.5856328439
33	0.5842238207
34	0.5819413662
35	0.580443118
36	0.5788591806
37	0.57725564
38	0.5760239162
39	0.5750241018
40	0.5737924733
41	0.5726768139
42	0.5715726903
43	0.5707388333
44	0.5701596332
45	0.5693022318
46	0.5688379994
47	0.568209898
48	0.567475926
49	0.5667487716
50	0.5660872026
51	0.5654989256
52	0.5650577041
53	0.5645352011
54	0.5641583016
55	0.563697821
56	0.5633154055
57	0.5629654014
58	0.5627426308
59	0.5625005935
60	0.5622684976
61	0.5620136721
62	0.5617490815
63	0.5615785918
64	0.5615104341
65	0.5613149185
66	0.5611832414
67	0.5609213499
68	0.5608241544
69	0.5606718292
70	0.5605480491
71	0.5604488458
72	0.5602297647
73	0.560090353
74	0.5600527612
75	0.5600186437
76	0.5599276877
77	0.559843164
78	0.5597714351
79	0.5596771579
80	0.5596008323
81	0.5595244046
82	0.5594581998
83	0.5593868437
84	0.5593362698
85	0.5592313007
86	0.5591259869
87	0.5590268923
88	0.5589684404
89	0.5589287765
90	0.5588171823
91	0.558719582
92	0.5586680798
93	0.5585956598
94	0.5585546073
95	0.558459364
96	0.5583936379
97	0.5583566539
98	0.558330541
99	0.5582769463
100	0.5582582598
101	0.5582117835
102	0.5581501958
103	0.5581081167
104	0.558072349
105	0.5580221422
106	0.5580114377
107	0.5579982961
108	0.5579780685
109	0.5579309934
110	0.5578839267
111	0.5578525151
112	0.5578191409
113	0.5578053206
114	0.5577891985
115	0.557768119
116	0.5577449435
117	0.5576866742
118	0.5576818068
119	0.5576659301
120	0.5576387832
121	0.5575996568
122	0.5575847581
123	0.5575654448
124	0.5575536706
125	0.5575493072
126	0.5575362186
127	0.557490545
128	0.5574637432
129	0.5574370669
130	0.557415035
131	0.5573927693
132	0.557372815
133	0.5573527577
134	0.5573248737
135	0.5572819202
136	0.5572674344
137	0.5572621299
138	0.5572265927
139	0.5572050332
140	0.5571831083
141	0.5571583815
142	0.557145912
143	0.5571262791
144	0.557110509
145	0.5571033877
146	0.557096582
147	0.5570879274
148	0.5570835762
149	0.5570779215
150	0.5570575908
151	0.5570516364
152	0.5570338829
153	0.5570223246
154	0.5570089125
155	0.5570026767
156	0.5569839421
157	0.5569796952
158	0.5569618084
159	0.5569492346
160	0.5569449051
161	0.5569208488
162	0.5569043657
163	0.5568995706
164	0.5568926613
165	0.5568816259
166	0.5568800205
167	0.5568712386
168	0.5568667649
169	0.5568637182
170	0.5568521241
171	0.5568338517
172	0.5568247097
173	0.5568220703
174	0.5568095192
175	0.5568064786
176	0.5568035119
177	0.5567990367
178	0.5567910675
179	0.556789832
180	0.5567811996
181	0.5567735791
182	0.5567725779
183	0.5567648385
184	0.5567631775
185	0.5567602311
186	0.5567441875
187	0.556736999
188	0.5567312836
189	0.5567305015
190	0.5567296829
191	0.5567262769
192	0.5567101632
193	0.5567059198
194	0.5566959816
195	0.5566911768
196	0.5566894703
197	0.5566860424
198	0.5566786351
199	0.5566765962
200	0.5566741821
201	0.5566667001
202	0.5566623216
203	0.5566599679
204	0.5566566071
205	0.5566562115
206	0.5566498568
207	0.5566431489
208	0.556641503
209	0.5566386633
210	0.5566272727
211	0.556625748
212	0.5566150097
213	0.556612525
214	0.556610847
215	0.5566023032
216	0.5565951315
217	0.5565947408
218	0.5565915788
219	0.5565904148
220	0.5565835973
221	0.556577076
222	0.556570712
223	0.5565662874
224	0.5565654688
225	0.5565609382
226	0.556559789
227	0.5565559922
228	0.5565544671
229	0.556548306
230	0.5565435808
231	0.5565427247
232	0.5565423344
233	0.5565404834
234	0.5565399782
235	0.556539003
236	0.5565382359
237	0.556537447
238	0.5565347237
239	0.5565342812
240	0.5565332042
241	0.5565322622
242	0.5565305109
243	0.556529585
244	0.556526057
245	0.5565256851
246	0.5565241359
247	0.5565206661
248	0.5565199056
249	0.5565188826
250	0.5565122457
251	0.5565063298
252	0.5565055304
253	0.5565000427
254	0.5564998018
255	0.5564958285
256	0.5564933019
257	0.556492726
258	0.5564901166
259	0.5564896395
260	0.5564887851
261	0.556484765
262	0.5564837842
263	0.5564822349
264	0.5564804433
265	0.5564767698
266	0.5564729245
267	0.5564717061
268	0.5564680581
269	0.5564646772
270	0.5564639053
271	0.556462912
272	0.5564623698
273	0.5564602518
274	0.5564587956
275	0.55645855
276	0.556458087
277	0.5564567644
278	0.5564538441
279	0.5564504711
280	0.556449397
281	0.5564485894
282	0.556446208
283	0.5564438259
284	0.5564436621
285	0.5564429205
286	0.5564426271
287	0.5564418443
288	0.5564412223
289	0.5564397617
290	0.5564391061
291	0.5564376833
292	0.5564358331
293	0.5564354634
294	0.556434955
295	0.5564344969
296	0.5564327603
297	0.5564298855
298	0.5564275222
299	0.556426719
300	0.5564263234
301	0.556425532
302	0.5564249321
303	0.5564242051
304	0.5564216954
305	0.5564208917
306	0.5564202616
307	0.556419593
308	0.5564192684
309	0.5564184109
310	0.5564177995
311	0.5564175153
312	0.5564171866
313	0.5564166423
314	0.5564161768
315	0.5564136238
316	0.5564132399
317	0.5564131689
318	0.556412503
319	0.5564085816
320	0.5564079886
321	0.5564077747
322	0.5564061593
323	0.5564059486
324	0.5564056309
325	0.5564054113
326	0.5564049799
327	0.556404126
328	0.5564033733
329	0.5564027028
330	0.5564022411
331	0.5564017332
332	0.5563995941
333	0.5563977949
334	0.5563976397
335	0.5563968643
336	0.5563964204
337	0.556395779
338	0.5563951182
339	0.5563933982
340	0.5563933448
341	0.5563926611
342	0.556392296
343	0.5563920434
344	0.5563917645
345	0.5563902245
346	0.5563899333
347	0.5563898069
348	0.5563883264
349	0.5563870771
350	0.5563857374
351	0.5563854273
352	0.5563851707
353	0.5563848055
354	0.5563841547
355	0.5563836917
356	0.5563820212
357	0.556381939
358	0.5563816145
359	0.5563813608
360	0.556381212
361	0.5563811205
362	0.5563800146
363	0.5563793938
364	0.5563780656
365	0.5563779789
366	0.5563776133
367	0.5563762227
368	0.556375938
369	0.5563758773
370	0.5563754926
371	0.5563738518
372	0.5563737562
373	0.5563736772
374	0.5563725591
375	0.556371415
376	0.5563704358
377	0.5563702381
378	0.5563690869
379	0.5563681558
380	0.5563678316
381	0.5563667757
382	0.5563659618
383	0.5563658396
384	0.5563657014
385	0.5563646995
386	0.5563644924
387	0.5563641882
388	0.5563632076
389	0.5563631522
390	0.5563616463
391	0.5563614544
392	0.5563613916
393	0.5563611704
394	0.5563610765
395	0.5563608481
396	0.5563599133
397	0.5563598671
398	0.5563597275
399	0.556359534
400	0.5563592639
401	0.5563591945
402	0.5563590275
403	0.5563576352
404	0.5563568324
405	0.5563560245
406	0.5563558476
407	0.5563557371
408	0.5563556103
409	0.556354851
410	0.5563545116
411	0.5563542644
412	0.5563538587
413	0.556353579
414	0.5563533827
415	0.5563530548
416	0.5563523094
417	0.5563521999
418	0.5563510343
419	0.5563510014
420	0.5563502212
421	0.5563490075
422	0.5563488495
423	0.556348745
424	0.5563486899
425	0.5563486518
426	0.5563478882
427	0.5563476529
428	0.5563474807
429	0.5563473465
430	0.556347204
431	0.5563470558
432	0.5563469104
433	0.5563467704
434	0.556346585
435	0.5563463804
436	0.5563462547
437	0.5563461143
438	0.556346098
439	0.5563450228
440	0.5563449725
441	0.5563442246
442	0.5563438822
443	0.556343856
444	0.5563437963
445	0.5563437267
446	0.5563431669
447	0.5563430832
448	0.5563429784
449	0.5563426942
450	0.5563424825
451	0.5563424073
452	0.5563418448
453	0.5563413142
454	0.5563406596
455	0.5563405842
456	0.5563404771
457	0.5563399246
458	0.556339827
459	0.5563397948
460	0.5563395803
461	0.5563392683
462	0.5563391706
463	0.5563382509
464	0.5563377648
465	0.5563375694
466	0.5563371595
467	0.5563371208
468	0.5563365375
469	0.5563361711
470	0.5563356546
471	0.5563355644
472	0.5563354332
473	0.5563353586
474	0.5563351292
475	0.5563343621
476	0.5563341234
477	0.5563340199
478	0.556333557
479	0.5563332778
480	0.5563331927
481	0.556333055
482	0.556332655
483	0.5563325235
484	0.5563323652
485	0.5563322657
486	0.5563322471
487	0.5563321813
488	0.5563317909
489	0.5563317757
490	0.5563317422
491	0.5563316511
492	0.5563313175
493	0.5563308361
494	0.5563308206
495	0.556330798
496	0.5563307655
497	0.5563304482
498	0.5563303246
499	0.5563303011
500	0.55633022
501	0.5563298965
502	0.5563298404
503	0.5563297968
504	0.5563297422
505	0.5563291684
506	0.5563288345
507	0.556328745
508	0.5563283886
509	0.5563282411
510	0.5563281289
511	0.5563279382
512	0.5563278691
513	0.5563278651
514	0.5563274806
515	0.5563274641
516	0.5563271546
517	0.5563270738
518	0.5563269487
519	0.5563269279
520	0.5563268753
521	0.5563267561
522	0.5563264493
523	0.5563263902
524	0.5563263695
525	0.5563262952
526	0.55632623
527	0.5563261638
528	0.5563259694
529	0.5563259098
530	0.5563258821
531	0.5563256102
532	0.5563254955
533	0.5563254348
534	0.556325288
535	0.5563252147
536	0.5563251213
537	0.5563250768
538	0.5563247454
539	0.556324615
540	0.5563242322
541	0.556324201
542	0.5563240988
543	0.5563238491
544	0.5563237279
545	0.5563235081
546	0.5563233986
547	0.5563233841
548	0.5563232481
549	0.5563231936
550	0.5563230455
551	0.5563230401
552	0.5563228055
553	0.5563225359
554	0.556322141
555	0.5563220841
556	0.5563219981
557	0.5563219362
558	0.5563218174
559	0.5563218023
560	0.5563217367
561	0.5563214881
562	0.5563214814
563	0.5563214281
564	0.5563213626
565	0.5563213446
566	0.5563212468
567	0.5563209665
568	0.5563209171
569	0.5563206495
570	0.5563205832
571	0.5563204824
572	0.5563204031
573	0.5563203627
574	0.5563201447
575	0.5563201247
576	0.556320012
577	0.5563199667
578	0.556319881
579	0.5563198692
580	0.556319816
581	0.5563198032
582	0.5563195317
583	0.5563194111
584	0.5563193237
585	0.5563192086
586	0.5563189813
587	0.5563189179
588	0.5563188697
589	0.5563188199
590	0.5563185572
591	0.5563183619
592	0.5563182418
593	0.5563180277
594	0.5563180139
595	0.5563180046
596	0.5563179165
597	0.5563178773
598	0.5563178632
599	0.5563177796
600	0.5563177335
601	0.5563175539
602	0.5563174725
603	0.556317435
604	0.5563173546
605	0.5563173047
606	0.5563171116
607	0.5563168138
608	0.5563166499
609	0.5563165849
610	0.5563163924
611	0.5563163174
612	0.556316305
613	0.5563160608
614	0.5563160112
615	0.5563159791
616	0.5563158693
617	0.5563158594
618	0.5563158036
619	0.556315763
620	0.5563157189
621	0.5563157158
622	0.5563156755
623	0.5563154106
624	0.5563153784
625	0.5563153488
626	0.5563151183
627	0.5563149252
628	0.5563148202
629	0.5563147721
630	0.5563147005
631	0.5563146432
632	0.5563146167
633	0.5563145839
634	0.5563145422
635	0.5563145036
636	0.5563144724
637	0.5563144643
638	0.5563142749
639	0.5563142022
640	0.5563141938
