iter	Passed	Remaining
0	5	5948
1	10	5477
2	15	5307
3	20	5192
4	25	5162
5	31	5137
6	37	5299
7	42	5310
8	48	5296
9	53	5303
10	59	5311
11	64	5298
12	69	5297
13	75	5289
14	80	5275
15	85	5258
16	90	5237
17	95	5224
18	100	5213
19	106	5220
20	111	5202
21	116	5186
22	122	5201
23	127	5198
24	133	5220
25	139	5227
26	145	5228
27	150	5224
28	155	5207
29	160	5195
30	165	5182
31	171	5177
32	176	5168
33	180	5129
34	186	5146
35	191	5139
36	197	5129
37	202	5120
38	207	5109
39	212	5093
40	217	5088
41	222	5081
42	228	5077
43	233	5074
44	238	5058
45	243	5054
46	248	5029
47	253	5018
48	258	5012
49	263	5006
50	268	4998
51	273	4994
52	279	4990
53	284	4989
54	289	4980
55	295	4976
56	300	4968
57	305	4962
58	310	4952
59	315	4938
60	320	4931
61	325	4924
62	330	4913
63	335	4901
64	341	4906
65	346	4905
66	351	4896
67	356	4892
68	361	4883
69	366	4873
70	372	4869
71	377	4865
72	382	4863
73	387	4849
74	392	4839
75	397	4834
76	402	4828
77	407	4821
78	413	4818
79	418	4816
80	424	4815
81	429	4811
82	434	4805
83	439	4795
84	444	4786
85	449	4779
86	455	4775
87	460	4770
88	465	4762
89	470	4757
90	475	4751
91	481	4747
92	485	4738
93	491	4732
94	496	4730
95	501	4720
96	506	4714
97	511	4708
98	516	4702
99	521	4695
100	526	4690
101	532	4686
102	537	4681
103	542	4673
104	547	4667
105	552	4662
106	558	4660
107	563	4651
108	568	4644
109	573	4636
110	577	4628
111	583	4625
112	590	4635
113	596	4635
114	604	4648
115	609	4646
116	615	4645
117	621	4647
118	627	4646
119	633	4648
120	639	4645
121	644	4640
122	650	4638
123	656	4634
124	661	4632
125	667	4632
126	673	4627
127	678	4622
128	684	4620
129	688	4608
130	694	4604
131	700	4603
132	705	4599
133	711	4596
134	716	4592
135	721	4584
136	727	4581
137	732	4577
138	738	4571
139	743	4567
140	748	4562
141	754	4557
142	759	4552
143	765	4547
144	770	4545
145	776	4541
146	782	4538
147	787	4533
148	792	4528
149	797	4521
150	802	4514
151	808	4508
152	813	4505
153	818	4497
154	824	4496
155	830	4493
156	836	4489
157	841	4484
158	847	4481
159	853	4478
160	858	4471
161	863	4465
162	868	4458
163	873	4453
164	878	4448
165	884	4445
166	890	4441
167	895	4435
168	900	4430
169	906	4424
170	911	4419
171	916	4413
172	922	4408
173	927	4402
174	932	4396
175	937	4391
176	943	4385
177	948	4379
178	953	4373
179	958	4367
180	963	4360
181	969	4355
182	974	4350
183	979	4345
184	985	4341
185	990	4336
186	995	4330
187	1001	4325
188	1006	4320
189	1012	4315
190	1017	4308
191	1022	4303
192	1027	4297
193	1033	4293
194	1038	4286
195	1043	4281
196	1048	4275
197	1054	4269
198	1059	4264
199	1064	4259
200	1070	4253
201	1075	4247
202	1080	4240
203	1085	4234
204	1090	4228
205	1095	4222
206	1100	4215
207	1105	4209
208	1111	4204
209	1116	4198
210	1121	4192
211	1126	4188
212	1131	4181
213	1137	4176
214	1142	4171
215	1147	4164
216	1152	4158
217	1157	4151
218	1162	4145
219	1168	4142
220	1174	4139
221	1179	4135
222	1186	4135
223	1193	4133
224	1198	4129
225	1204	4123
226	1209	4119
227	1215	4114
228	1220	4110
229	1226	4105
230	1232	4101
231	1238	4098
232	1243	4093
233	1248	4087
234	1253	4081
235	1259	4076
236	1264	4071
237	1270	4066
238	1275	4060
239	1281	4056
240	1286	4051
241	1291	4045
242	1297	4040
243	1302	4035
244	1307	4029
245	1312	4024
246	1318	4018
247	1323	4012
248	1328	4007
249	1333	4001
250	1338	3994
251	1344	3990
252	1349	3985
253	1354	3979
254	1360	3974
255	1365	3967
256	1370	3961
257	1375	3956
258	1380	3950
259	1386	3944
260	1391	3938
261	1396	3933
262	1401	3926
263	1406	3922
264	1412	3916
265	1416	3909
266	1422	3904
267	1427	3898
268	1432	3892
269	1437	3886
270	1442	3881
271	1447	3875
272	1453	3870
273	1458	3863
274	1463	3858
275	1468	3852
276	1473	3846
277	1479	3841
278	1484	3835
279	1489	3829
280	1494	3824
281	1500	3819
282	1505	3813
283	1510	3807
284	1515	3801
285	1520	3796
286	1526	3791
287	1531	3787
288	1537	3782
289	1542	3777
290	1549	3774
291	1555	3770
292	1560	3766
293	1566	3761
294	1571	3756
295	1577	3751
296	1582	3746
297	1588	3741
298	1593	3736
299	1599	3731
300	1604	3726
301	1610	3721
302	1615	3716
303	1621	3712
304	1627	3707
305	1632	3702
306	1637	3696
307	1643	3691
308	1649	3687
309	1654	3683
310	1660	3678
311	1665	3673
312	1670	3667
313	1678	3667
314	1684	3663
315	1690	3659
316	1697	3656
317	1702	3650
318	1707	3645
319	1712	3639
